[IRV | PA | OT | Psalms | Chapter 52 | Verse 1] ਹੇ ਸੂਰਬੀਰ, ਤੂੰ ਬੁਰਿਆਈ ਉੱਤੇ ਕਿਉਂ ਘਮੰਡ ਕਰਦਾ ਹੈਂ? ਪਰਮੇਸ਼ੁਰ ਦੀ ਦਯਾ ਸਦੀਪਕ ਰਹਿੰਦੀ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 52 | Verse 2] ਹੇ ਛਲੀਏ, ਤੇਰੀ ਜੀਭ ਬੁਰਿਆਈ ਦੀਆਂ ਯੋਜਨਾਵਾਂ ਤਿੱਖੇ ਉਸਤਰੇ ਵਾਂਗੂੰ ਕਰਦੀ ਹੈ!
[IRV | PA | OT | Psalms | Chapter 52 | Verse 3] ਤੂੰ ਬੁਰਿਆਈ ਨੂੰ ਭਲਿਆਈ ਨਾਲੋਂ, ਅਤੇ ਝੂਠ ਬੋਲਣ ਨੂੰ ਸੱਚ ਬੋਲਣ ਨਾਲੋਂ ਵਧੇਰੇ ਪ੍ਰੇਮ ਰੱਖਦਾ ਹੈਂ। ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 52 | Verse 4] ਹੇ ਛਲ ਵਾਲੀ ਜੀਭ, ਤੂੰ ਸਾਰੀਆਂ ਹਲਾਕ ਕਰਨ ਵਾਲਿਆਂ ਗੱਲਾਂ ਨਾਲ ਪ੍ਰੀਤ ਰੱਖਦੀ ਹੈਂ!
[IRV | PA | OT | Psalms | Chapter 52 | Verse 5] ਪਰਮੇਸ਼ੁਰ ਵੀ ਤੈਨੂੰ ਸਦਾ ਲਈ ਕੱਢ ਸੁੱਟੇਗਾ, ਉਹ ਤੈਨੂੰ ਫੜ੍ਹ ਕੇ ਤੇਰੇ ਤੰਬੂ ਵਿੱਚੋਂ ਉਖੇੜ ਛੱਡੇਗਾ, ਅਤੇ ਜੀਉਣ ਦੀ ਧਰਤੀ ਵਿੱਚੋਂ ਤੇਰੀ ਜੜ੍ਹ ਪੁੱਟ ਦੇਵੇਗਾ! ਸਲਹ।
[IRV | PA | OT | Psalms | Chapter 52 | Verse 6] ਧਰਮੀ ਵੀ ਵੇਖਣਗੇ ਅਤੇ ਡਰਨਗੇ, ਅਤੇ ਉਸ ਉੱਤੇ ਹੱਸਣਗੇ,
[IRV | PA | OT | Psalms | Chapter 52 | Verse 7] ਵੇਖੋ, ਇਹ ਓਹੋ ਮਨੁੱਖ ਹੈ ਜਿਸ ਨੇ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਆਪਣਾ ਗੜ੍ਹ ਨਹੀਂ ਮੰਨਿਆ ਸੀ, ਸਗੋਂ ਆਪਣੇ ਧਨ ਦੀ ਬਹੁਤਾਇਤ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖਦਾ ਸੀ, ਅਤੇ ਆਪਣੇ ਲੋਭ ਵਿੱਚ ਪੱਕਾ ਸੀ!
[IRV | PA | OT | Psalms | Chapter 52 | Verse 8] ਪਰ ਮੈਂ ਤਾਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਘਰ ਵਿੱਚ ਜ਼ੈਤੂਨ ਦੇ ਹਰੇ ਭਰੇ ਰੁੱਖ ਵਰਗਾ ਹਾਂ, ਮੈਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਦਯਾ ਉੱਤੇ ਸਦਾ ਹੀ ਭਰੋਸਾ ਰੱਖਿਆ ਹੈ।
[IRV | PA | OT | Psalms | Chapter 52 | Verse 9] ਮੈਂ ਸਦਾ ਤੇਰਾ ਧੰਨਵਾਦ ਕਰਾਂਗਾ, ਕਿਉਂ ਜੋ ਤੂੰ ਇਹ ਕੀਤਾ ਹੈ, ਅਤੇ ਮੈਂ ਤੇਰੇ ਨਾਮ ਉੱਤੇ ਭਰੋਸਾ ਰੱਖਿਆ ਅਤੇ ਉਹ ਭਲਾ ਹੈ ਅਤੇ ਤੇਰੇ ਸੰਤਾਂ ਦੇ ਅੱਗੇ ਤੇਰੀ ਉਸਤਤ ਕਰਾਂਗਾ।
